race_id,pos,driver,team,time,pts,driver_total_gps
2025_british_gp,13,E. Ocon,Haas,+77.301s,0,158
2025_british_gp,14,C. Leclerc,Ferrari,+84.477s,0,162
2025_british_gp,15,Y. Tsunoda,Red Bull,+1 Lap,0,103
2025_british_gp,16,A.K. Antonelli,Mercedes,DNF,0,13
2025_british_gp,17,I. Hadjar,Red Bull,DNF,0,15
2025_british_gp,18,G. Bortoleto,Kick Sauber,DNF,0,16
2025_british_gp,19,L. Lawson,Red Bull,DNF,0,26
2025_british_gp,20,F. Colapinto,Alpine,DNF,0,0
2025_belgian_gp,1,O. Piastri,McLaren,1:25:22.601,25,62
2025_belgian_gp,2,L. Norris,McLaren,+3.415s,18,144
2025_belgian_gp,3,C. Leclerc,Ferrari,+20.185s,15,162
2025_belgian_gp,4,M. Verstappen,Red Bull,+21.731s,12,224
2025_belgian_gp,5,G. Russell,Mercedes,+34.863s,10,144
2025_belgian_gp,6,A. Albon,Williams,+39.926s,8,120
2025_belgian_gp,7,L. Hamilton,Ferrari,+40.679s,6,371
2025_belgian_gp,8,L. Lawson,Red Bull,+52.033s,4,26
2025_belgian_gp,9,G. Bortoleto,Kick Sauber,+56.434s,2,16
2025_belgian_gp,10,P. Gasly,Alpine,+72.714s,1,169
2025_belgian_gp,11,O. Bearman,Haas,+73.145s,0,18
2025_belgian_gp,12,N. Hülkenberg,Kick Sauber,+73.628s,0,243
2025_belgian_gp,13,Y. Tsunoda,Red Bull,+75.395s,0,103
2025_belgian_gp,14,L. Stroll,Aston Martin,+79.831s,0,181
2025_belgian_gp,15,E. Ocon,Haas,+86.063s,0,158
2025_belgian_gp,16,A.K. Antonelli,Mercedes,+86.721s,0,13
2025_belgian_gp,17,F. Alonso,Aston Martin,+87.924s,0,409
2025_belgian_gp,18,C. Sainz Jr.,Williams,+92.024s,0,221
2025_belgian_gp,19,F. Colapinto,Alpine,+95.250s,0,0
2025_belgian_gp,20,I. Hadjar,Red Bull,+1 Lap,0,15
2025_hungarian_gp,1,L. Norris,McLaren,1:35:21.231,25,144
2025_hungarian_gp,2,O. Piastri,McLaren,+0.698s,18,62
2025_hungarian_gp,3,G. Russell,Mercedes,+21.916s,15,144
2025_hungarian_gp,4,C. Leclerc,Ferrari,+42.560s,12,162
2025_hungarian_gp,5,F. Alonso,Aston Martin,+59.040s,10,409
2025_hungarian_gp,6,G. Bortoleto,Kick Sauber,+66.169s,8,16
2025_hungarian_gp,7,L. Stroll,Aston Martin,+68.174s,6,181
2025_hungarian_gp,8,L. Lawson,Red Bull,+69.451s,4,26
2025_hungarian_gp,9,M. Verstappen,Red Bull,+72.645s,2,224
2025_hungarian_gp,10,A.K. Antonelli,Mercedes,+1 Lap,1,13
2025_hungarian_gp,11,I. Hadjar,Red Bull,+1 Lap,0,15
2025_hungarian_gp,12,L. Hamilton,Ferrari,+1 Lap,0,371
2025_hungarian_gp,13,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_hungarian_gp,14,C. Sainz Jr.,Williams,+1 Lap,0,221
2025_hungarian_gp,15,A. Albon,Williams,+1 Lap,0,120
2025_hungarian_gp,16,E. Ocon,Haas,+1 Lap,0,158
2025_hungarian_gp,17,Y. Tsunoda,Red Bull,+1 Lap,0,103
2025_hungarian_gp,18,F. Colapinto,Alpine,+1 Lap,0,0
2025_hungarian_gp,19,P. Gasly,Alpine,+1 Lap,0,169
2025_hungarian_gp,20,O. Bearman,Haas,DNF,0,18
2025_dutch_gp,1,,,,,
2025_dutch_gp,2,,,,,
2025_dutch_gp,3,,,,,
2025_dutch_gp,4,,,,,
2025_dutch_gp,5,,,,,
2025_dutch_gp,6,,,,,
2025_dutch_gp,7,,,,,
2025_dutch_gp,8,,,,,
2025_dutch_gp,9,,,,,
2025_dutch_gp,10,,,,,
2025_dutch_gp,11,,,,,
2025_dutch_gp,12,,,,,
2025_dutch_gp,13,,,,,
2025_dutch_gp,14,,,,,
2025_dutch_gp,15,,,,,
2025_dutch_gp,16,,,,,
2025_dutch_gp,17,,,,,
2025_dutch_gp,18,,,,,
2025_dutch_gp,19,,,,,
2025_dutch_gp,20,,,,,

